oblast,month,room_count,years_rent_to_buy,source
Kharkiv,2024-07,1,17.4,lun_ua_api_sale_in_rent
Kharkiv,2024-09,1,17.4,lun_ua_api_sale_in_rent
Kharkiv,2023-10,1,19.2,lun_ua_api_sale_in_rent
Kharkiv,2024-04,1,18.4,lun_ua_api_sale_in_rent
Kharkiv,2024-10,1,17.3,lun_ua_api_sale_in_rent
Kharkiv,2023-09,1,19.7,lun_ua_api_sale_in_rent
Kharkiv,2024-06,1,17.1,lun_ua_api_sale_in_rent
Kharkiv,2024-01,1,20,lun_ua_api_sale_in_rent
Kharkiv,2024-11,1,17.4,lun_ua_api_sale_in_rent
Kharkiv,2024-02,1,19.6,lun_ua_api_sale_in_rent
Kharkiv,2024-05,1,17.6,lun_ua_api_sale_in_rent
Kharkiv,2023-08,1,18.2,lun_ua_api_sale_in_rent
Kharkiv,2023-06,1,20.2,lun_ua_api_sale_in_rent
Kharkiv,2024-08,1,17.3,lun_ua_api_sale_in_rent
Kharkiv,2023-12,1,20,lun_ua_api_sale_in_rent
Kharkiv,2024-12,1,17.4,lun_ua_api_sale_in_rent
Kharkiv,2023-11,1,19.6,lun_ua_api_sale_in_rent
Kharkiv,2023-05,1,21.3,lun_ua_api_sale_in_rent
Kharkiv,2023-07,1,20.2,lun_ua_api_sale_in_rent
Kharkiv,2024-03,1,18.8,lun_ua_api_sale_in_rent
Kharkiv,2023-09,2,21.2,lun_ua_api_sale_in_rent
Kharkiv,2024-05,2,17.2,lun_ua_api_sale_in_rent
Kharkiv,2023-07,2,21.4,lun_ua_api_sale_in_rent
Kharkiv,2024-07,2,17.2,lun_ua_api_sale_in_rent
Kharkiv,2024-04,2,19.2,lun_ua_api_sale_in_rent
Kharkiv,2023-11,2,22.2,lun_ua_api_sale_in_rent
Kharkiv,2023-08,2,22,lun_ua_api_sale_in_rent
Kharkiv,2024-06,2,18.2,lun_ua_api_sale_in_rent
Kharkiv,2024-11,2,18.5,lun_ua_api_sale_in_rent
Kharkiv,2024-08,2,18.4,lun_ua_api_sale_in_rent
Kharkiv,2024-12,2,19.6,lun_ua_api_sale_in_rent
Kharkiv,2024-02,2,20,lun_ua_api_sale_in_rent
Kharkiv,2023-10,2,20,lun_ua_api_sale_in_rent
Kharkiv,2023-12,2,22.1,lun_ua_api_sale_in_rent
Kharkiv,2024-01,2,20.7,lun_ua_api_sale_in_rent
Kharkiv,2024-03,2,19.7,lun_ua_api_sale_in_rent
Kharkiv,2024-09,2,19.1,lun_ua_api_sale_in_rent
Kharkiv,2024-10,2,19,lun_ua_api_sale_in_rent
Kharkiv,2023-06,2,21.5,lun_ua_api_sale_in_rent
Kharkiv,2023-05,2,20.8,lun_ua_api_sale_in_rent
Kharkiv,2023-05,3,21.3,lun_ua_api_sale_in_rent
Kharkiv,2023-10,3,21.6,lun_ua_api_sale_in_rent
Kharkiv,2024-07,3,19.5,lun_ua_api_sale_in_rent
Kharkiv,2023-07,3,21.3,lun_ua_api_sale_in_rent
Kharkiv,2024-11,3,18.2,lun_ua_api_sale_in_rent
Kharkiv,2024-06,3,17.1,lun_ua_api_sale_in_rent
Kharkiv,2024-09,3,18.7,lun_ua_api_sale_in_rent
Kharkiv,2023-12,3,21.3,lun_ua_api_sale_in_rent
Kharkiv,2023-06,3,21.7,lun_ua_api_sale_in_rent
Kharkiv,2024-03,3,19.3,lun_ua_api_sale_in_rent
Kharkiv,2023-11,3,19.7,lun_ua_api_sale_in_rent
Kharkiv,2024-10,3,18.2,lun_ua_api_sale_in_rent
Kharkiv,2024-01,3,20,lun_ua_api_sale_in_rent
Kharkiv,2024-12,3,18.9,lun_ua_api_sale_in_rent
Kharkiv,2024-04,3,16.9,lun_ua_api_sale_in_rent
Kharkiv,2024-08,3,19,lun_ua_api_sale_in_rent
Kharkiv,2023-08,3,22.1,lun_ua_api_sale_in_rent
Kharkiv,2023-09,3,23.7,lun_ua_api_sale_in_rent
Kharkiv,2024-05,3,16,lun_ua_api_sale_in_rent
Kharkiv,2024-02,3,19.8,lun_ua_api_sale_in_rent
Sumy,2024-12,1,9.4,lun_ua_api_sale_in_rent
Sumy,2024-09,1,14.6,lun_ua_api_sale_in_rent
Sumy,2024-02,1,16,lun_ua_api_sale_in_rent
Sumy,2024-10,1,14.2,lun_ua_api_sale_in_rent
Sumy,2023-10,1,17.5,lun_ua_api_sale_in_rent
Sumy,2024-08,1,10.6,lun_ua_api_sale_in_rent
Sumy,2024-03,1,16,lun_ua_api_sale_in_rent
Sumy,2023-08,1,18.2,lun_ua_api_sale_in_rent
Sumy,2023-12,1,17.7,lun_ua_api_sale_in_rent
Sumy,2023-06,1,26.9,lun_ua_api_sale_in_rent
Sumy,2024-11,1,9.9,lun_ua_api_sale_in_rent
Sumy,2024-06,1,12.5,lun_ua_api_sale_in_rent
Sumy,2024-05,1,12.5,lun_ua_api_sale_in_rent
Sumy,2023-05,1,25.9,lun_ua_api_sale_in_rent
Sumy,2024-07,1,14,lun_ua_api_sale_in_rent
Sumy,2023-07,1,22.6,lun_ua_api_sale_in_rent
Sumy,2024-01,1,17.9,lun_ua_api_sale_in_rent
Sumy,2023-09,1,16.3,lun_ua_api_sale_in_rent
Sumy,2024-04,1,14.2,lun_ua_api_sale_in_rent
Sumy,2023-11,1,17.1,lun_ua_api_sale_in_rent
Sumy,2024-08,2,15.3,lun_ua_api_sale_in_rent
Sumy,2023-08,2,21.8,lun_ua_api_sale_in_rent
Sumy,2024-02,2,19.6,lun_ua_api_sale_in_rent
Sumy,2024-06,2,14.1,lun_ua_api_sale_in_rent
Sumy,2023-05,2,27.2,lun_ua_api_sale_in_rent
Sumy,2024-09,2,9.6,lun_ua_api_sale_in_rent
Sumy,2024-11,2,11.6,lun_ua_api_sale_in_rent
Sumy,2023-12,2,20.3,lun_ua_api_sale_in_rent
Sumy,2023-11,2,22.9,lun_ua_api_sale_in_rent
Sumy,2024-10,2,11.1,lun_ua_api_sale_in_rent
Sumy,2023-10,2,22,lun_ua_api_sale_in_rent
Sumy,2024-05,2,12.4,lun_ua_api_sale_in_rent
Sumy,2024-03,2,17.1,lun_ua_api_sale_in_rent
Sumy,2024-04,2,16.7,lun_ua_api_sale_in_rent
Sumy,2023-07,2,24.5,lun_ua_api_sale_in_rent
Sumy,2024-07,2,15.9,lun_ua_api_sale_in_rent
Sumy,2023-09,2,21.1,lun_ua_api_sale_in_rent
Sumy,2023-06,2,27.8,lun_ua_api_sale_in_rent
Sumy,2024-01,2,18.6,lun_ua_api_sale_in_rent
Sumy,2024-12,2,10.7,lun_ua_api_sale_in_rent
Sumy,2024-04,3,16,lun_ua_api_sale_in_rent
Sumy,2024-03,3,18,lun_ua_api_sale_in_rent
Sumy,2024-10,3,6.7,lun_ua_api_sale_in_rent
Sumy,2023-05,3,24.2,lun_ua_api_sale_in_rent
Sumy,2024-09,3,13.2,lun_ua_api_sale_in_rent
Sumy,2024-01,3,19.6,lun_ua_api_sale_in_rent
Sumy,2023-12,3,18.3,lun_ua_api_sale_in_rent
Sumy,2023-08,3,21.8,lun_ua_api_sale_in_rent
Sumy,2024-11,3,10.3,lun_ua_api_sale_in_rent
Sumy,2023-06,3,21.4,lun_ua_api_sale_in_rent
Sumy,2024-12,3,10,lun_ua_api_sale_in_rent
Sumy,2023-11,3,19.7,lun_ua_api_sale_in_rent
Sumy,2023-07,3,15.5,lun_ua_api_sale_in_rent
Sumy,2024-07,3,19.4,lun_ua_api_sale_in_rent
Sumy,2024-05,3,12.7,lun_ua_api_sale_in_rent
Sumy,2024-08,3,13.4,lun_ua_api_sale_in_rent
Sumy,2024-06,3,17.2,lun_ua_api_sale_in_rent
Sumy,2023-09,3,18.7,lun_ua_api_sale_in_rent
Sumy,2024-02,3,16.8,lun_ua_api_sale_in_rent
Sumy,2023-10,3,17.2,lun_ua_api_sale_in_rent
Chernihiv,2024-01,1,18.5,lun_ua_api_sale_in_rent
Chernihiv,2023-08,1,11.6,lun_ua_api_sale_in_rent
Chernihiv,2024-10,1,16.3,lun_ua_api_sale_in_rent
Chernihiv,2024-04,1,12.4,lun_ua_api_sale_in_rent
Chernihiv,2023-05,1,14.6,lun_ua_api_sale_in_rent
Chernihiv,2024-11,1,17.6,lun_ua_api_sale_in_rent
Chernihiv,2024-12,1,17.5,lun_ua_api_sale_in_rent
Chernihiv,2023-09,1,14.3,lun_ua_api_sale_in_rent
Chernihiv,2024-08,1,13.4,lun_ua_api_sale_in_rent
Chernihiv,2023-07,1,13.1,lun_ua_api_sale_in_rent
Chernihiv,2023-06,1,16.5,lun_ua_api_sale_in_rent
Chernihiv,2023-12,1,18,lun_ua_api_sale_in_rent
Chernihiv,2024-02,1,19.8,lun_ua_api_sale_in_rent
Chernihiv,2024-06,1,12.9,lun_ua_api_sale_in_rent
Chernihiv,2023-11,1,16.9,lun_ua_api_sale_in_rent
Chernihiv,2024-03,1,12.2,lun_ua_api_sale_in_rent
Chernihiv,2024-07,1,16.6,lun_ua_api_sale_in_rent
Chernihiv,2024-05,1,14.1,lun_ua_api_sale_in_rent
Chernihiv,2023-10,1,16.5,lun_ua_api_sale_in_rent
Chernihiv,2024-09,1,13.5,lun_ua_api_sale_in_rent
Chernihiv,2024-10,2,20.8,lun_ua_api_sale_in_rent
Chernihiv,2024-12,2,22.2,lun_ua_api_sale_in_rent
Chernihiv,2024-01,2,23.9,lun_ua_api_sale_in_rent
Chernihiv,2024-03,2,23.9,lun_ua_api_sale_in_rent
Chernihiv,2023-10,2,21.3,lun_ua_api_sale_in_rent
Chernihiv,2023-11,2,21.7,lun_ua_api_sale_in_rent
Chernihiv,2024-02,2,21.4,lun_ua_api_sale_in_rent
Chernihiv,2024-05,2,16,lun_ua_api_sale_in_rent
Chernihiv,2023-06,2,22.9,lun_ua_api_sale_in_rent
Chernihiv,2024-08,2,16.5,lun_ua_api_sale_in_rent
Chernihiv,2023-09,2,20.5,lun_ua_api_sale_in_rent
Chernihiv,2023-12,2,22.9,lun_ua_api_sale_in_rent
Chernihiv,2024-11,2,21,lun_ua_api_sale_in_rent
Chernihiv,2024-04,2,18,lun_ua_api_sale_in_rent
Chernihiv,2024-09,2,19.5,lun_ua_api_sale_in_rent
Chernihiv,2023-08,2,20.4,lun_ua_api_sale_in_rent
Chernihiv,2023-05,2,28,lun_ua_api_sale_in_rent
Chernihiv,2023-07,2,19.7,lun_ua_api_sale_in_rent
Chernihiv,2024-06,2,19.2,lun_ua_api_sale_in_rent
Chernihiv,2024-07,2,22.3,lun_ua_api_sale_in_rent
Chernihiv,2024-11,3,19.8,lun_ua_api_sale_in_rent
Chernihiv,2023-11,3,25.6,lun_ua_api_sale_in_rent
Chernihiv,2023-12,3,30.7,lun_ua_api_sale_in_rent
Chernihiv,2023-06,3,32.3,lun_ua_api_sale_in_rent
Chernihiv,2023-07,3,26,lun_ua_api_sale_in_rent
Chernihiv,2023-05,3,14.9,lun_ua_api_sale_in_rent
Chernihiv,2024-02,3,27.4,lun_ua_api_sale_in_rent
Chernihiv,2023-09,3,24.6,lun_ua_api_sale_in_rent
Chernihiv,2024-01,3,26.6,lun_ua_api_sale_in_rent
Chernihiv,2024-05,3,18.5,lun_ua_api_sale_in_rent
Chernihiv,2024-09,3,24.3,lun_ua_api_sale_in_rent
Chernihiv,2024-08,3,16.4,lun_ua_api_sale_in_rent
Chernihiv,2024-06,3,19.2,lun_ua_api_sale_in_rent
Chernihiv,2023-08,3,22.1,lun_ua_api_sale_in_rent
Chernihiv,2024-03,3,19.8,lun_ua_api_sale_in_rent
Chernihiv,2024-07,3,14.8,lun_ua_api_sale_in_rent
Chernihiv,2024-10,3,27.4,lun_ua_api_sale_in_rent
Chernihiv,2023-10,3,27,lun_ua_api_sale_in_rent
Chernihiv,2024-04,3,18,lun_ua_api_sale_in_rent
Chernihiv,2024-12,3,25,lun_ua_api_sale_in_rent
