oblast,month,market_type,segment,class_label,room_count,median_uah,median_m2_uah,median_usd,median_m2_usd,listing_count,source
Kharkiv,2023-09,primary_sale,room_count,,2,1528370,28974,39900.013053126226,756.4101292259496,2945,lun_ua_api_flat_history_ctype1
Kharkiv,2024-07,primary_sale,room_count,,1,837000,25464,20000,608.4638550714526,4542,lun_ua_api_flat_history_ctype1
Kharkiv,2023-05,primary_sale,room_count,,3,1902300,26791,51000.00000000001,718.2636729222521,134,lun_ua_api_flat_history_ctype1
Kharkiv,2024-09,primary_sale,room_count,,1,834700,25164,20000,602.9411764705883,3206,lun_ua_api_flat_history_ctype1
Kharkiv,2023-10,primary_sale,room_count,,3,1876945,26933,49000,703.1249184179611,1420,lun_ua_api_flat_history_ctype1
Kharkiv,2024-07,primary_sale,room_count,,3,1875973,26156,44826.10513739546,625,2306,lun_ua_api_flat_history_ctype1
Kharkiv,2023-10,primary_sale,room_count,,1,919320,26905,24000,702.3811512857329,3159,lun_ua_api_flat_history_ctype1
Kharkiv,2023-07,primary_sale,room_count,,3,2046000,27761,54999.99999999999,746.2685483870966,2027,lun_ua_api_flat_history_ctype1
Kharkiv,2024-04,primary_sale,room_count,,1,881015,24898,23000,650,5248,lun_ua_api_flat_history_ctype1
Kharkiv,2024-11,primary_sale,room_count,,3,1749300,25310,42000,607.6923076923077,1807,lun_ua_api_flat_history_ctype1
Kharkiv,2024-05,primary_sale,room_count,,2,1340675,24544,35000,640.7509157509159,4063,lun_ua_api_flat_history_ctype1
Kharkiv,2024-10,primary_sale,room_count,,1,830600,24658,20000,593.75,3104,lun_ua_api_flat_history_ctype1
Kharkiv,2024-06,primary_sale,room_count,,3,1843800,25656,44915.95615103532,625,2341,lun_ua_api_flat_history_ctype1
Kharkiv,2024-09,primary_sale,room_count,,3,1794605,25778,43000,617.6470588235294,1784,lun_ua_api_flat_history_ctype1
Kharkiv,2023-09,primary_sale,room_count,,1,946134,28023,24700.013053126226,731.5796893355958,4041,lun_ua_api_flat_history_ctype1
Kharkiv,2023-12,primary_sale,room_count,,3,1915250,26519,50000,692.3076923076923,2255,lun_ua_api_flat_history_ctype1
Kharkiv,2024-06,primary_sale,room_count,,1,821000,24892,20000,606.3829787234043,4617,lun_ua_api_flat_history_ctype1
Kharkiv,2023-07,primary_sale,room_count,,2,1543800,28933,41500,777.777688172043,3509,lun_ua_api_flat_history_ctype1
Kharkiv,2024-07,primary_sale,room_count,,2,1339200,26070,32000,622.9508196721312,3585,lun_ua_api_flat_history_ctype1
Kharkiv,2024-04,primary_sale,room_count,,2,1378980,25537,36000,666.6666666666667,3967,lun_ua_api_flat_history_ctype1
Kharkiv,2023-06,primary_sale,room_count,,3,2086000,28159,56000,755.9557046979866,1778,lun_ua_api_flat_history_ctype1
Kharkiv,2023-11,primary_sale,room_count,,2,1468350,26355,38333.11578122961,688.030283252839,3765,lun_ua_api_flat_history_ctype1
Kharkiv,2024-01,primary_sale,room_count,,1,957625,26697,25000,696.969696969697,5060,lun_ua_api_flat_history_ctype1
Kharkiv,2024-03,primary_sale,room_count,,3,1850796,25993,48317.35413131445,678.5714285714286,2410,lun_ua_api_flat_history_ctype1
Kharkiv,2023-08,primary_sale,room_count,,2,1580550,29812,41000,773.3333333333334,4343,lun_ua_api_flat_history_ctype1
Kharkiv,2024-11,primary_sale,room_count,,1,833000,24235,20000,581.87414500684,3316,lun_ua_api_flat_history_ctype1
Kharkiv,2024-06,primary_sale,room_count,,2,1313600,25905,32000.000000000004,631.0499609679938,3603,lun_ua_api_flat_history_ctype1
Kharkiv,2024-02,primary_sale,room_count,,1,938473,26814,24500,700,4691,lun_ua_api_flat_history_ctype1
Kharkiv,2024-05,primary_sale,room_count,,1,842710,23941,22000,625,5228,lun_ua_api_flat_history_ctype1
Kharkiv,2024-11,primary_sale,room_count,,2,1332800,25783,32000,619.047619047619,2668,lun_ua_api_flat_history_ctype1
Kharkiv,2023-11,primary_sale,room_count,,3,1882500,26355,49145.02023234565,688.030283252839,2228,lun_ua_api_flat_history_ctype1
Kharkiv,2024-10,primary_sale,room_count,,3,1744260,25557,42000,615.3846153846154,1772,lun_ua_api_flat_history_ctype1
Kharkiv,2024-08,primary_sale,room_count,,2,1326400,25785,31999.999999999996,622.0867208672087,3033,lun_ua_api_flat_history_ctype1
Kharkiv,2024-12,primary_sale,room_count,,2,1353600,26320,32000.000000000004,622.2222222222223,2489,lun_ua_api_flat_history_ctype1
Kharkiv,2024-01,primary_sale,room_count,,3,1915250,26677,50000,696.4285714285714,2303,lun_ua_api_flat_history_ctype1
Kharkiv,2024-12,primary_sale,room_count,,3,1818900,25952,43000,613.5268505079825,1716,lun_ua_api_flat_history_ctype1
Kharkiv,2023-08,primary_sale,room_count,,1,983025,28594,25500.000000000004,741.7315175097277,6165,lun_ua_api_flat_history_ctype1
Kharkiv,2024-02,primary_sale,room_count,,2,1436438,26724,37500,697.6744186046512,3481,lun_ua_api_flat_history_ctype1
Kharkiv,2023-06,primary_sale,room_count,,1,968500,27091,26000,727.2727516778524,4466,lun_ua_api_flat_history_ctype1
Kharkiv,2024-08,primary_sale,room_count,,1,829000,24870,20000,600,3776,lun_ua_api_flat_history_ctype1
Kharkiv,2023-12,primary_sale,room_count,,1,957625,26601,25000,694.4444444444445,5069,lun_ua_api_flat_history_ctype1
Kharkiv,2023-10,primary_sale,room_count,,2,1436438,27361,37500.013053126226,714.2856024017752,2413,lun_ua_api_flat_history_ctype1
Kharkiv,2023-12,primary_sale,room_count,,2,1474743,26672,38500,696.306622965642,3758,lun_ua_api_flat_history_ctype1
Kharkiv,2024-12,primary_sale,room_count,,1,837540,24882,19800,588.2352941176472,3079,lun_ua_api_flat_history_ctype1
Kharkiv,2024-01,primary_sale,room_count,,2,1493895,26863,39000,701.2987012987013,3736,lun_ua_api_flat_history_ctype1
Kharkiv,2023-11,primary_sale,room_count,,1,941250,26719,24572.510116172823,697.5420963320715,4991,lun_ua_api_flat_history_ctype1
Kharkiv,2024-04,primary_sale,room_count,,3,1800335,25340,47000,661.5384615384615,2534,lun_ua_api_flat_history_ctype1
Kharkiv,2024-08,primary_sale,room_count,,3,1823779,25903,43999.5,624.9305555555555,2150,lun_ua_api_flat_history_ctype1
Kharkiv,2023-08,primary_sale,room_count,,3,2120211,28808,54998.98832684825,747.3005188067445,2484,lun_ua_api_flat_history_ctype1
Kharkiv,2024-03,primary_sale,room_count,,2,1417285,26117,37000,681.8181818181819,3758,lun_ua_api_flat_history_ctype1
Kharkiv,2024-09,primary_sale,room_count,,2,1377255,26486,33000,634.6153846153846,2613,lun_ua_api_flat_history_ctype1
Kharkiv,2023-09,primary_sale,room_count,,3,1991860,28021,52000,731.5252577992429,1964,lun_ua_api_flat_history_ctype1
Kharkiv,2023-05,primary_sale,room_count,,1,895200,27426,24000.000000000004,735.2941018766757,357,lun_ua_api_flat_history_ctype1
Kharkiv,2023-07,primary_sale,room_count,,1,967200,27253,25999.999999999996,732.6092741935483,5034,lun_ua_api_flat_history_ctype1
Kharkiv,2024-05,primary_sale,room_count,,3,1723725,24423,45000,637.590579710145,2584,lun_ua_api_flat_history_ctype1
Kharkiv,2024-02,primary_sale,room_count,,3,1896098,26092,49500,681.1594202898551,2203,lun_ua_api_flat_history_ctype1
Kharkiv,2024-10,primary_sale,room_count,,2,1370490,25956,33000,625,2554,lun_ua_api_flat_history_ctype1
Kharkiv,2023-06,primary_sale,room_count,,2,1545875,28654,41500,769.2308724832214,3095,lun_ua_api_flat_history_ctype1
Kharkiv,2023-05,primary_sale,room_count,,2,1376080,28380,36892.22520107239,760.8694369973191,243,lun_ua_api_flat_history_ctype1
Kharkiv,2024-03,primary_sale,room_count,,1,900168,25537,23500,666.6666666666667,5079,lun_ua_api_flat_history_ctype1
Kharkiv,2024-07,rental,room_count,,3,8000,115,191.15890083632019,2.7570995312930795,593,lun_ua_api_flat_history_ctype2
Kharkiv,2023-05,rental,room_count,,1,3500,125,93.83378016085791,3.3512064343163543,567,lun_ua_api_flat_history_ctype2
Kharkiv,2024-09,rental,room_count,,2,6000,122,143.76422666826406,2.933963809556409,1056,lun_ua_api_flat_history_ctype2
Kharkiv,2024-01,rental,room_count,,3,8000,111,208.85001957968933,2.900694716384574,590,lun_ua_api_flat_history_ctype2
Kharkiv,2024-01,rental,room_count,,2,6000,114,156.637514684767,2.9666195963024053,1465,lun_ua_api_flat_history_ctype2
Kharkiv,2023-12,rental,room_count,,1,4000,134,104.42500978984467,3.5044341427016037,2397,lun_ua_api_flat_history_ctype2
Kharkiv,2024-06,rental,room_count,,3,9000,121,219.24482338611452,2.955428655794064,610,lun_ua_api_flat_history_ctype2
Kharkiv,2024-10,rental,room_count,,3,8000,116,192.6318324103058,2.7917656871058814,443,lun_ua_api_flat_history_ctype2
Kharkiv,2023-12,rental,room_count,,2,5550,111,144.88970108340948,2.900694716384574,1600,lun_ua_api_flat_history_ctype2
Kharkiv,2023-06,rental,room_count,,2,6000,120,161.0738255033557,3.221476510067114,1480,lun_ua_api_flat_history_ctype2
Kharkiv,2024-05,rental,room_count,,3,9000,118,234.9562720271505,3.0713238173483726,571,lun_ua_api_flat_history_ctype2
Kharkiv,2023-08,rental,room_count,,1,4500,145,116.73151750972764,3.7730220492866406,3123,lun_ua_api_flat_history_ctype2
Kharkiv,2024-12,rental,room_count,,3,8000,110,189.12529550827423,2.595615142977428,430,lun_ua_api_flat_history_ctype2
Kharkiv,2024-05,rental,room_count,,1,4000,143,104.42500978984467,3.7294646353515954,2591,lun_ua_api_flat_history_ctype2
Kharkiv,2023-05,rental,room_count,,3,7450,113,199.73190348525472,3.0316353887399465,122,lun_ua_api_flat_history_ctype2
Kharkiv,2024-10,rental,room_count,,2,6000,123,144.47387430772935,2.963566652466243,1062,lun_ua_api_flat_history_ctype2
Kharkiv,2024-10,rental,room_count,,1,4000,140,96.3159162051529,3.3710570671803515,1830,lun_ua_api_flat_history_ctype2
Kharkiv,2024-11,rental,room_count,,2,6000,116,144.0576230492197,2.782859175416198,1132,lun_ua_api_flat_history_ctype2
Kharkiv,2023-09,rental,room_count,,3,7000,108,182.74376713222816,2.811382326067093,571,lun_ua_api_flat_history_ctype2
Kharkiv,2023-08,rental,room_count,,3,8000,111,207.52269779507134,2.8822308690012974,722,lun_ua_api_flat_history_ctype2
Kharkiv,2024-11,rental,room_count,,3,8000,111,192.07683073229293,2.667733760170735,441,lun_ua_api_flat_history_ctype2
Kharkiv,2023-05,rental,room_count,,2,5500,118,147.4530831099196,3.176005361930295,274,lun_ua_api_flat_history_ctype2
Kharkiv,2023-09,rental,room_count,,2,6000,120,156.637514684767,3.13275029369534,1348,lun_ua_api_flat_history_ctype2
Kharkiv,2023-11,rental,room_count,,1,4000,133,104.42500978984467,3.4807466388199977,2663,lun_ua_api_flat_history_ctype2
Kharkiv,2023-10,rental,room_count,,3,7250,107,189.27033024409346,2.7970238872209894,588,lun_ua_api_flat_history_ctype2
Kharkiv,2023-10,rental,room_count,,1,4000,136,104.42500978984467,3.559848583735805,2258,lun_ua_api_flat_history_ctype2
Kharkiv,2024-04,rental,room_count,,3,8900,123,232.3456467824044,3.213077224302913,595,lun_ua_api_flat_history_ctype2
Kharkiv,2024-08,rental,room_count,,1,4000,139,96.5018094089264,3.3507572711432783,2369,lun_ua_api_flat_history_ctype2
Kharkiv,2024-01,rental,room_count,,1,4000,136,104.42500978984467,3.5599435155628867,2244,lun_ua_api_flat_history_ctype2
Kharkiv,2024-03,rental,room_count,,2,6000,120,156.637514684767,3.13275029369534,1392,lun_ua_api_flat_history_ctype2
Kharkiv,2023-12,rental,room_count,,3,7500,106,195.79689335595876,2.758435764982938,653,lun_ua_api_flat_history_ctype2
Kharkiv,2024-04,rental,room_count,,1,4000,145,104.42500978984467,3.77437633155246,2575,lun_ua_api_flat_history_ctype2
Kharkiv,2024-09,rental,room_count,,3,8000,114,191.6856355576854,2.7272727272727275,459,lun_ua_api_flat_history_ctype2
Kharkiv,2024-02,rental,room_count,,3,8000,111,208.85001957968933,2.900694716384574,598,lun_ua_api_flat_history_ctype2
Kharkiv,2024-03,rental,room_count,,3,8000,117,208.85001957968933,3.045729452203803,553,lun_ua_api_flat_history_ctype2
Kharkiv,2023-07,rental,room_count,,2,6000,122,161.29032258064515,3.2782258064516125,1490,lun_ua_api_flat_history_ctype2
Kharkiv,2024-08,rental,room_count,,3,8000,117,193.0036188178528,2.8120023247524677,524,lun_ua_api_flat_history_ctype2
Kharkiv,2023-06,rental,room_count,,1,4000,138,107.38255033557047,3.6912751677852347,2684,lun_ua_api_flat_history_ctype2
Kharkiv,2023-07,rental,room_count,,3,8000,111,215.0537634408602,2.986827956989247,578,lun_ua_api_flat_history_ctype2
Kharkiv,2024-03,rental,room_count,,1,4000,143,104.42500978984467,3.7411192123370696,2423,lun_ua_api_flat_history_ctype2
Kharkiv,2023-07,rental,room_count,,1,4000,141,107.5268817204301,3.78010752688172,2727,lun_ua_api_flat_history_ctype2
Kharkiv,2024-12,rental,room_count,,1,4000,133,94.56264775413712,3.1520882584712377,1932,lun_ua_api_flat_history_ctype2
Kharkiv,2023-11,rental,room_count,,3,7950,107,207.54470695731627,2.8042031066440414,696,lun_ua_api_flat_history_ctype2
Kharkiv,2023-09,rental,room_count,,1,4000,140,104.42500978984467,3.6548753426445635,2205,lun_ua_api_flat_history_ctype2
Kharkiv,2024-05,rental,room_count,,2,6500,125,169.69064090849758,3.263281555932646,1497,lun_ua_api_flat_history_ctype2
Kharkiv,2024-02,rental,room_count,,2,6000,115,156.637514684767,3.002219031458034,1522,lun_ua_api_flat_history_ctype2
Kharkiv,2024-06,rental,room_count,,2,6000,125,146.163215590743,3.0450669914738127,1634,lun_ua_api_flat_history_ctype2
Kharkiv,2024-11,rental,room_count,,1,4000,136,96.03841536614647,3.274036887482266,1870,lun_ua_api_flat_history_ctype2
Kharkiv,2024-04,rental,room_count,,2,6000,122,156.637514684767,3.1907641880230315,1467,lun_ua_api_flat_history_ctype2
Kharkiv,2024-07,rental,room_count,,2,6500,125,155.31660692951016,2.986857825567503,1652,lun_ua_api_flat_history_ctype2
Kharkiv,2024-07,rental,room_count,,1,4000,143,95.57945041816009,3.413551800648575,2781,lun_ua_api_flat_history_ctype2
Kharkiv,2024-08,rental,room_count,,2,6000,125,144.75271411338963,3.01568154402895,1362,lun_ua_api_flat_history_ctype2
Kharkiv,2024-12,rental,room_count,,2,5750,114,135.93380614657212,2.686438856651623,1096,lun_ua_api_flat_history_ctype2
Kharkiv,2023-06,rental,room_count,,3,8000,111,214.76510067114094,2.9828187919463085,569,lun_ua_api_flat_history_ctype2
Kharkiv,2023-10,rental,room_count,,2,6000,117,156.637514684767,3.0549536614019055,1417,lun_ua_api_flat_history_ctype2
Kharkiv,2023-11,rental,room_count,,2,5500,111,143.5843884610364,2.90066570943741,1738,lun_ua_api_flat_history_ctype2
Kharkiv,2023-08,rental,room_count,,2,6000,122,155.64202334630352,3.1704280155642026,1761,lun_ua_api_flat_history_ctype2
Kharkiv,2024-09,rental,room_count,,1,4000,140,95.8428177788427,3.3544986222594946,1846,lun_ua_api_flat_history_ctype2
Kharkiv,2024-06,rental,room_count,,1,4000,143,97.442143727162,3.480076561684357,2852,lun_ua_api_flat_history_ctype2
Kharkiv,2024-02,rental,room_count,,1,4000,140,104.42500978984467,3.6640354312226204,2619,lun_ua_api_flat_history_ctype2
Sumy,2024-04,primary_sale,room_count,,3,1532200,23215,40000,606.0606060606061,360,lun_ua_api_flat_history_ctype1
Sumy,2024-03,primary_sale,room_count,,3,1723687,24625,44999,642.8571428571429,289,lun_ua_api_flat_history_ctype1
Sumy,2024-08,primary_sale,room_count,,2,1284950,25295,30999.999999999996,610.2430555555555,460,lun_ua_api_flat_history_ctype1
Sumy,2024-12,primary_sale,room_count,,1,846000,24455,20000,578.125,393,lun_ua_api_flat_history_ctype1
Sumy,2024-10,primary_sale,room_count,,3,1453550,22769,35000,548.2637362637363,274,lun_ua_api_flat_history_ctype1
Sumy,2023-08,primary_sale,room_count,,2,1310700,24606,34000,638.297795071336,453,lun_ua_api_flat_history_ctype1
Sumy,2024-09,primary_sale,room_count,,1,876435,25505,21000,611.1111111111111,462,lun_ua_api_flat_history_ctype1
Sumy,2024-02,primary_sale,room_count,,2,1413455,25349,36900,661.7647058823529,327,lun_ua_api_flat_history_ctype1
Sumy,2023-05,primary_sale,room_count,,3,1454700,20722,39000,555.5554959785524,77,lun_ua_api_flat_history_ctype1
Sumy,2024-02,primary_sale,room_count,,1,957625,25481,25000,665.2173913043479,353,lun_ua_api_flat_history_ctype1
Sumy,2024-06,primary_sale,room_count,,2,1354650,25811,33000,628.7683031869078,534,lun_ua_api_flat_history_ctype1
Sumy,2024-09,primary_sale,room_count,,3,1585930,23115,38000,553.8461538461538,307,lun_ua_api_flat_history_ctype1
Sumy,2023-05,primary_sale,room_count,,2,1305463,23872,34999.008042895446,640,113,lun_ua_api_flat_history_ctype1
Sumy,2024-09,primary_sale,room_count,,2,1323000,25528,31700,611.6780045351475,436,lun_ua_api_flat_history_ctype1
Sumy,2024-01,primary_sale,room_count,,3,1647115,24327,43000,635.0741357234316,237,lun_ua_api_flat_history_ctype1
Sumy,2024-10,primary_sale,room_count,,1,850000,24918,20467.132193594993,600,415,lun_ua_api_flat_history_ctype1
Sumy,2024-11,primary_sale,room_count,,2,1249500,24866,30000,597.0149253731344,451,lun_ua_api_flat_history_ctype1
Sumy,2023-12,primary_sale,room_count,,3,1647115,24321,43000,634.9206349206349,232,lun_ua_api_flat_history_ctype1
Sumy,2023-12,primary_sale,room_count,,2,1340675,25676,35000,670.3018995929443,344,lun_ua_api_flat_history_ctype1
Sumy,2023-08,primary_sale,room_count,,3,1567058,23252,40650,603.1745784695202,300,lun_ua_api_flat_history_ctype1
Sumy,2023-11,primary_sale,room_count,,2,1374225,24860,35875.86476961232,648.9951703432972,368,lun_ua_api_flat_history_ctype1
Sumy,2024-10,primary_sale,room_count,,2,1328960,25841,32000,622.2222222222223,430,lun_ua_api_flat_history_ctype1
Sumy,2023-10,primary_sale,room_count,,1,947250,25005,24729.14763085759,652.7782273854588,303,lun_ua_api_flat_history_ctype1
Sumy,2024-08,primary_sale,room_count,,1,891175,25259,21500,609.375,521,lun_ua_api_flat_history_ctype1
Sumy,2023-10,primary_sale,room_count,,2,1321522,24982,34499.986946873774,652.1738676413001,297,lun_ua_api_flat_history_ctype1
Sumy,2024-05,primary_sale,room_count,,2,1340656,24490,34999.50000000001,639.344262295082,596,lun_ua_api_flat_history_ctype1
Sumy,2024-03,primary_sale,room_count,,1,957625,25281,25000,660,468,lun_ua_api_flat_history_ctype1
Sumy,2023-08,primary_sale,room_count,,1,983025,25379,25500.000000000004,658.3333333333334,539,lun_ua_api_flat_history_ctype1
