tau,se,p_value,n,ci_lo,ci_hi,month,month_dt,tau_norm,rel_month
1.3394640798408877,0.5264571756741745,0.012003858628548192,148,0.3076080155195058,2.3713201441622695,2021-01,2021-01-01,0.2134763406995921,-13
1.20641364689316,0.4888100955524489,0.014755659721554237,148,0.24834585961036026,2.16448143417596,2021-02,2021-02-01,0.08042590775186453,-12
1.182054835050904,0.49047755470812715,0.017214315307627757,148,0.2207188278229747,2.143390842278833,2021-03,2021-03-01,0.056067095909608344,-11
1.1162852934805916,0.48955145607232325,0.024062991286015505,148,0.156764439578838,2.075806147382345,2021-04,2021-04-01,-0.009702445660703996,-10
1.1128073432991032,0.4885278751748473,0.02420588098139934,148,0.1552927079564026,2.070321978641804,2021-05,2021-05-01,-0.013180395842192327,-9
1.1028999641916404,0.4859147252564712,0.024708338425296156,148,0.15050710268895684,2.055292825694324,2021-06,2021-06-01,-0.023087774949655193,-8
1.0884803539257197,0.4862077486575241,0.02670828696238719,148,0.13551316655697254,2.041447541294467,2021-07,2021-07-01,-0.03750738521557584,-7
1.0820681457201446,0.4795303187729598,0.02554411610255794,148,0.14218872092514345,2.0219475705151457,2021-08,2021-08-01,-0.043919593421150926,-6
1.0545766578562166,0.4777709467628148,0.028876907874541384,148,0.1181456022010996,1.9910077135113335,2021-09,2021-09-01,-0.071411081285079,-5
1.035104740362929,0.47768855080840544,0.03188691002575606,148,0.09883518077845432,1.9713742999474038,2021-10,2021-10-01,-0.09088299877836659,-4
1.0277937302152902,0.4744426715189949,0.03193243356465806,148,0.09788609403806026,1.95770136639252,2021-11,2021-11-01,-0.09819400892600538,-3
1.033728042378147,0.47026779023064175,0.029533909488377193,148,0.11200317352608913,1.9554529112302048,2021-12,2021-12-01,-0.0922596967631486,-2
1.2561637756221078,0.46491039375952714,0.007721711703024673,148,0.3449394038534346,2.1673881473907812,2022-01,2022-01-01,0.13017603648081222,-1
1.2434475750345368,0.4882184096837801,0.011918371590880399,148,0.2865394920543278,2.200355658014746,2022-02,2022-02-01,0.11745983589324127,0
1.2662430163539666,0.5023947210616224,0.01281195917868817,148,0.2815493630731867,2.2509366696347466,2022-03,2022-03-01,0.14025527721267106,1
1.2512098840597683,0.5085648855194587,0.01506614924244031,148,0.2544227084416293,2.2479970596779073,2022-04,2022-04-01,0.12522214491847272,2
1.1096476211889936,0.5437779579777546,0.04311498742003052,148,0.0438428235525945,2.175452418825393,2022-05,2022-05-01,-0.016340117952301947,3
1.0805750059965074,0.5468649925594101,0.05007213496951988,148,0.00871962058006348,2.1524303914129512,2022-06,2022-06-01,-0.04541273314478822,4
1.0752753247570956,0.5516579392093567,0.053218634281375465,148,-0.005974236093243546,2.1565248856074346,2022-07,2022-07-01,-0.05071241438419993,5
1.1125870189498708,0.5500486032278453,0.04495444089209977,148,0.03449175662329407,2.1906822812764473,2022-08,2022-08-01,-0.013400720191424798,6
1.103367510253768,0.5482061287346822,0.04601179091135016,148,0.028883497933790858,2.1778515225737447,2022-09,2022-09-01,-0.022620228887527682,7
1.0548032834218903,0.5513138324326039,0.05770023317311642,148,-0.02577182814601331,2.135378394989794,2022-10,2022-10-01,-0.07118445571940524,8
1.020705627347041,0.5526272091849164,0.06679870989791237,148,-0.062443702655395006,2.103854957349477,2022-11,2022-11-01,-0.10528211179425462,9
0.9518171221990142,0.5517753775850527,0.08667144920164513,148,-0.12966261786768918,2.0332968622657175,2022-12,2022-12-01,-0.17417061694228142,10
0.9637267045171043,0.6961830518846327,0.1684078977976937,148,-0.4007920771767757,2.3282454862109843,2023-01,2023-01-01,-0.16226103462419128,11
0.8555876731251716,0.6672662071151357,0.20182292431782325,148,-0.45225409282049445,2.1634294390708377,2023-02,2023-02-01,-0.270400066016124,12
0.8047628004306829,0.6544131371150872,0.22079714939165776,148,-0.47788694831488787,2.087412549176254,2023-03,2023-03-01,-0.32122493871061264,13
0.7848040009161228,0.6503730903188029,0.22952702576841102,148,-0.4899272561087309,2.0595352579409765,2023-04,2023-04-01,-0.3411837382251728,14
0.7610835552480063,0.6428316379363083,0.23838164758603636,148,-0.4988664551071579,2.0210335656031706,2023-05,2023-05-01,-0.36490418389328927,15
0.7622208163246312,0.6105786693831329,0.21392583515068098,148,-0.4345133756663092,1.9589550083155718,2023-06,2023-06-01,-0.36376692281666434,16
0.7777283542465383,0.6074695299136752,0.20250675554050146,148,-0.41291192438426516,1.9683686328773418,2023-07,2023-07-01,-0.3482593848947573,17
0.7685829433158446,0.6011309225311711,0.20310828682311183,148,-0.40963366484525054,1.9467995514769398,2023-08,2023-08-01,-0.3574047958254509,18
0.7505620515256561,0.6011287598934589,0.21384199574881116,148,-0.4276503178655233,1.9287744209168356,2023-09,2023-09-01,-0.37542568761563944,19
0.7205330700198084,0.6039709070521803,0.2348340559383403,148,-0.4632499078024649,1.9043160478420815,2023-10,2023-10-01,-0.4054546691214872,20
0.7369229478989598,0.5823331097657701,0.20774796967367712,148,-0.4044499472419496,1.8782958430398693,2023-11,2023-11-01,-0.38906479124233573,21
0.7289187146972628,0.5746739075164328,0.20670043374363628,148,-0.3974421440349455,1.855279573429471,2023-12,2023-12-01,-0.3970690244440328,22
0.8596630345064202,0.525773431854989,0.10422381714769109,148,-0.17085289192935815,1.8901789609421986,2024-01,2024-01-01,-0.26632470463487534,23
0.8028388242343344,0.5249954184901319,0.12840113432479233,148,-0.22615219600632408,1.831829844474993,2024-02,2024-02-01,-0.3231489149069612,24
0.7806105051407565,0.5280686751431714,0.14152842886692962,148,-0.2544040981398593,1.8156251084213721,2024-03,2024-03-01,-0.3453772340005391,24
0.7695004641750911,0.5305333589129656,0.14911391190732762,148,-0.2703449192943215,1.8093458476445037,2024-04,2024-04-01,-0.35648727496620447,25
0.7663333321974813,0.5276406503032718,0.1485721722482905,148,-0.2678423423969313,1.800509006791894,2024-05,2024-05-01,-0.35965440694381423,26
0.770442263058851,0.524338802231122,0.14391661558685992,148,-0.257261789314148,1.79814631543185,2024-06,2024-06-01,-0.3555454760824446,27
0.7582943328956727,0.5281484491607893,0.1532393944193651,148,-0.27687662745947417,1.7934652932508195,2024-07,2024-07-01,-0.36769340624562286,28
0.7397425011437055,0.5292249588030776,0.1643272999121652,148,-0.29753841811032666,1.7770234203977378,2024-08,2024-08-01,-0.38624523799759003,29
0.6776163499409921,0.5238014107009108,0.19785710508745613,148,-0.349034415032793,1.704267114914777,2024-09,2024-09-01,-0.4483713892003035,30
0.6581956878496866,0.5198009517613325,0.20746970716919502,148,-0.3606141776025249,1.6770055533018982,2024-10,2024-10-01,-0.46779205129160895,31
0.6479431807759098,0.5213012041113314,0.21591204576659845,148,-0.3738071792822998,1.6696935408341194,2024-11,2024-11-01,-0.47804455836538573,32
0.6460947251493449,0.5183730967653049,0.21464524304440186,148,-0.3699165445106526,1.6621059948093424,2024-12,2024-12-01,-0.4798930139919507,33
